found_location,n,lat,lon,status
7104 Berkman Dr in Austin (TX),10,30.3240355,-97.6915352,ok
8300 N Ih 35 in Austin (TX),10,,,no_result
8800 N Ih 35 in Austin (TX),10,,,no_result
1735 Rutland Dr in Austin (TX),10,30.376993,-97.710848,ok
William Cannon And Manchaca in Austin (TX),10,,,no_result
1801 Fortview Rd in Austin (TX),10,,,no_result
12507 Esplanade in Austin (TX),10,30.4156435,-97.6936079,ok
12315 Rayden St. in Travis (TX),10,,,no_result
509 E Todd Lane in Austin (TX),10,30.2152419,-97.7351207,ok
9218 Balcones Club Dr in Austin (TX),10,30.443137,-97.787503,ok
7112 Ed Bluestein Blvd in Austin (TX),10,30.3118639,-97.6646147,ok
5414 Bolm Rd in Austin (TX),10,30.2577195,-97.688911,ok
8220 Research Blvd in Austin (TX),10,30.3548155,-97.7169343,ok
2307 Ventura in Austin (TX),10,30.217308,-97.7368533,ok
3603 Southridge Dr in Austin (TX),10,30.234052,-97.777418,ok
12118 Walnut Park Crossing in Austin (TX),10,30.3927555,-97.6767332,ok
7211 Northeast Dr in Austin (TX),10,30.322124,-97.67923,ok
8519 Cahill Dr in Austin (TX),10,30.444318,-97.774606,ok
Airport in Austin (TX),10,30.1934893,-97.6650096,ok
6600 Ed Bluestein Blvd in Austin (TX),10,30.305514,-97.6615421,ok
1201 Payton Gin Rd in Austin (TX),10,30.3596564,-97.7073287,ok
1102 S Congress in Austin (TX),10,30.2544559,-97.7502362,ok
7707 S Ih 35 in Austin (TX),10,,,no_result
5338 Thunder Creek Rd in Austin (TX),10,30.417114,-97.747802,ok
2110 W Slaughter Ln in Austin (TX),10,30.1757946,-97.8259035,ok
5800 Techni Center in Austin (TX),10,30.27902,-97.671409,ok
900 Webberwood Way in Travis (TX),10,30.231374,-97.482276,ok
8105 Research Blvd in Austin (TX),10,30.353762,-97.713076,ok
7132 W 71 Hwy in Austin (TX),10,,,no_result
7500 S Pleasant Valley Rd in Austin (TX),10,30.170394,-97.75387,ok
Nuckols Crossing in Austin (TX),10,30.1794758,-97.7505241,ok
1311 Fairbanks in Austin (TX),10,30.327679,-97.6916317,ok
Hwy 183 And E Riverside Dr in Austin (TX),10,,,no_result
1520 Rutherford Ln in Austin (TX),10,30.3380185,-97.6809278,ok
Ben White/Manchaca in Austin (TX),10,,,no_result
14811 Chicadee Circle in Travis (TX),10,30.4191475,-97.6231595,ok
625 E Stassney Ln in Austin (TX),10,30.200761,-97.769337,ok
515 City Park Rd in Pflugerville (TX),10,30.4457098,-97.6220755,ok
1308 Thornberry Rd in Del Valle (TX),10,,,no_result
Williamson Rd & Graef Rd in Travis (TX),10,,,no_result
5800 Colton Rd in Austin (TX),10,30.180541,-97.6871698,ok
1515 Grove Blvd in Austin (TX),10,30.2308585,-97.7055412,ok
13000 N Ih 35 in Austin (TX),10,,,no_result
3308 Thompson in Austin (TX),10,30.266989,-97.699751,ok
1601 Royal Crest Dr in Austin (TX),10,30.2385876,-97.7300124,ok
10107 Rodriguez Rd in Austin (TX),10,,,no_result
9435 Middle Fiskville Rd in Austin (TX),10,30.3585225,-97.6854925,ok
4014 W William Cannon Dr in Austin (TX),10,30.21724,-97.8346524,ok
8000 Decker Ln in Austin (TX),10,30.3045355,-97.6194013,ok
50002 Westgate Blvd in Austin (TX),10,,,no_result
11604 Loweswater in Austin (TX),10,30.354483,-97.6157571,ok
8718 Fm 812 in Austin (TX),10,,,no_result
3500 Eskew Dr in Austin (TX),10,30.20341,-97.8374337,ok
12419 Metric Blvd in Austin (TX),10,30.411347,-97.6916613,ok
3101 West Terrace Drive in Austin (TX),10,30.345234,-97.7488299,ok
2239 Cromwell Cir in Austin (TX),10,30.228606,-97.7184829,ok
16006 Agua Vista in Austin (TX),10,,,no_result
906 W Milton St in Austin (TX),10,30.2505215,-97.7596683,ok
20906 Delorio in Manor (TX),10,,,no_result
5806 Coolbrook Dr in Austin (TX),10,30.304689,-97.6543904,ok
Becker Ln And Reynero in Del Valle (TX),10,,,no_result
3300 Killingsworth Ln in Pflugerville (TX),10,,,no_result
16901 Hayride Circle in Travis (TX),10,30.141164,-97.5759904,ok
1108 Blue Fox Dr in Austin (TX),10,30.4051935,-97.6492618,ok
1100 Debco Ln in Travis (TX),10,30.385058,-98.028099,ok
11009 Amblewood Way in Austin (TX),10,30.370076,-97.6695647,ok
1601 E. Slaughter Ln. #83 in Travis (TX),10,30.1530963,-97.7692202,ok
2347 Douglas #1103 in Austin (TX),10,,,no_result
17944 Majestic Elm Ln in Travis (TX),10,30.350742,-97.4304975,ok
5055 Hwy 71 E in Del Valle (TX),10,,,no_result
8902 Briardale Dr in Austin (TX),10,30.3649545,-97.7148729,ok
1308 Thornberry Rd in Austin (TX),10,30.2233,-97.664541,ok
2124 Burton Dr in Austin (TX),10,30.2320376,-97.7338087,ok
7807 Broken Lance in Austin (TX),10,,,no_result
9200 North Plaza in Austin (TX),10,30.354603,-97.685843,ok
4402 Nixon Ln in Austin (TX),10,30.272621,-97.6508855,ok
6712 Cruz St in Austin (TX),10,30.2281295,-97.6958085,ok
5521 Hiline Rd in Austin (TX),10,,,no_result
Manchaca Rd And W Dittmar Rd in Austin (TX),10,,,no_result
3100 Barksdale in Travis (TX),10,30.2311409,-97.5938423,ok
505 Barton Springs in Austin (TX),10,30.2574568,-97.7492508,ok
Barney Dr in Travis (TX),10,30.376398,-97.9374544,ok
5500 Ponciana in Austin (TX),10,30.19773,-97.7560656,ok
N Interstate 35 Frontage Rd And E Braker Ln in Austin (TX),10,,,no_result
8528 Cornwall Dr in Austin (TX),10,30.178496,-97.80023,ok
3109 Robinson Ave in Austin (TX),10,30.2885845,-97.7216854,ok
17004 Round Mountain in Travis (TX),10,30.607965,-97.93458,ok
8748 Birmingham Dr in Austin (TX),10,30.1784795,-97.8053807,ok
8311 Evelyn Road in Travis (TX),10,30.0720185,-97.6892002,ok
1620 Old Lockhart Road in Travis (TX),10,30.1074695,-97.7406994,ok
2200 S Pleasant Valley Rd in Austin (TX),9,30.2314055,-97.7260331,ok
2005 Willow Creek in Austin (TX),9,30.232053,-97.728603,ok
2701 E 7Th St in Austin (TX),9,30.2591425,-97.7115491,ok
12345 Lamplight Village in Austin (TX),9,30.4125275,-97.6960904,ok
1135 Garland Ave in Austin (TX),9,30.2701099,-97.6843042,ok
5315 Ed Bluestein Blvd in Austin (TX),9,30.2919885,-97.6620679,ok
4404 E Oltorf in Austin (TX),9,30.227067,-97.72624,ok
W Slaughter Ln & Brodie Ln in Austin (TX),9,,,no_result
